Benchmark,Device,Device Name,N,Skipped,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Samples,Batch GPU (sec)
shared,0,NVIDIA RTX A4000,256,No,18928,4.3968040363482566e-05,0.03800337751697667,2.6430501832169918e-05,0.028847335516017227,20795,2.4044925216554045e-05
shared,0,NVIDIA RTX A4000,512,No,3120,0.0001782918163461545,0.01198591213799267,0.00016041416385426438,0.008835584648403762,3172,0.0001684502581179067
shared,0,NVIDIA RTX A4000,1024,No,3248,0.0013261493900862094,0.010519543074513436,0.001307358619945125,0.010541116321461257,3249,0.001321860662017353
shared,0,NVIDIA RTX A4000,2048,No,960,0.01090772441458334,0.009492592521227567,0.010888074998060871,0.009508114258875522,961,0.011095160567673673
shared,0,NVIDIA RTX A4000,4096,No,167,0.09018460674251502,0.008674282047762067,0.09016373576090005,0.00867642744645702,165,0.0910510138309363
shared,0,NVIDIA RTX A4000,8192,No,11,0.7340940912727273,0.0026496439759750726,0.7340594593394887,0.002651165896848719,12,0.7350851287841796
shared,1,NVIDIA RTX A4000,64,No,88528,2.3858715355593664e-05,0.18521555384408553,5.648673803622901e-06,0.13187305186594217,152879,3.2705837553251693e-06
shared,1,NVIDIA RTX A4000,128,No,59168,2.644156898999489e-05,0.1922113371445364,8.452285035822153e-06,0.0847705159377229,84647,5.906951092060583e-06
shared,1,NVIDIA RTX A4000,256,No,18576,4.590622378337644e-05,0.16008789284525976,2.6931615770651188e-05,0.02741018549660736,20547,2.433568955134254e-05
shared,1,NVIDIA RTX A4000,512,No,3104,0.00018186439916237119,0.05936072418560043,0.0001610876997337549,0.012827478622182802,3155,0.000171901754871979
shared,1,NVIDIA RTX A4000,1024,No,2704,0.0013456317366863904,0.013291346567293152,0.0013246339070637878,0.012291564418882654,2705,0.0013409383931133187
shared,1,NVIDIA RTX A4000,2048,No,1328,0.011284217871234948,0.021527059049379495,0.011262836045529438,0.02125869389930268,1301,0.011516212780781696
shared,1,NVIDIA RTX A4000,4096,No,161,0.09366770855279503,0.011771966828943152,0.09364325543516182,0.011775973661229991,160,0.0942470503807068
shared,1,NVIDIA RTX A4000,8192,No,11,0.7576862228181818,0.004032112237910429,0.7576577425870028,0.004028035771038668,12,0.7613970896402994
rf_block,0,NVIDIA RTX A4000,64,No,29696,3.4462986530172545e-05,0.06574781020030486,1.6845801608155636e-05,0.07878656498995733,35195,1.4207050308854018e-05
rf_block,0,NVIDIA RTX A4000,128,No,12080,5.9009859271523174e-05,0.06192660509733998,4.1416627287998554e-05,0.018964410810167094,12921,3.8698565003539046e-05
rf_block,0,NVIDIA RTX A4000,256,No,7200,8.976952583333327e-05,0.07305529021274221,6.952011220881318e-05,0.010537064455119515,7652,6.534449980870255e-05
rf_block,0,NVIDIA RTX A4000,512,No,3984,0.00014311398468875493,0.01106089047751758,0.00012555532684609428,0.006394529169518737,4181,0.00011960746154734404
rf_block,0,NVIDIA RTX A4000,1024,No,1201,0.0004344542356369696,0.006123117881494248,0.00041653704819433174,0.004881177916524546,1245,0.00041951183640813255
rf_block,0,NVIDIA RTX A4000,2048,No,1632,0.002614572840073536,0.007228605680626006,0.002596017428180777,0.007252349392916875,1633,0.0026272345891556544
rf_block,0,NVIDIA RTX A4000,4096,No,761,0.01970478956241789,0.00897330974072018,0.019684610196387977,0.008989732709042077,750,0.020000657943725575
rf_block,0,NVIDIA RTX A4000,8192,No,94,0.16068288862765961,0.005789969250161397,0.16065731421937338,0.005794363896263944,93,0.16212996353641623
rf_block,1,NVIDIA RTX A4000,64,No,29248,3.487639900164126e-05,0.08084439419936537,1.7096439735587594e-05,0.08059645717819842,34800,1.4368220320260473e-05
rf_block,1,NVIDIA RTX A4000,128,No,11984,5.940628771695648e-05,0.08435632065967116,4.1763059524772216e-05,0.018755719435672447,12802,3.9059299282488684e-05
rf_block,1,NVIDIA RTX A4000,256,No,7152,8.751088520693472e-05,0.021252195218067923,6.99804397310302e-05,0.011954239522262395,7611,6.570215995573148e-05
rf_block,1,NVIDIA RTX A4000,512,No,3952,0.0001444528605769233,0.011407823363789312,0.00012683756296194714,0.00740732507781357,4131,0.00012105265220424736
rf_block,1,NVIDIA RTX A4000,1024,No,1690,0.0004413636775147931,0.012874695317287771,0.0004232232131901621,0.0049996193475277655,1691,0.0004306556850513147
rf_block,1,NVIDIA RTX A4000,2048,No,2272,0.0026815034744718286,0.012397745628434539,0.002662872151379854,0.012479742371879704,2273,0.002706660404113023
rf_block,1,NVIDIA RTX A4000,4096,No,744,0.02016813880510753,0.007955616272353042,0.020148581994477135,0.007977525676320532,733,0.020462065042284955
rf_block,1,NVIDIA RTX A4000,8192,No,89,0.16966209156179776,0.021134102168986858,0.16963522424590718,0.021089719447450302,88,0.1705849916284734
warp_shuffle,0,NVIDIA RTX A4000,64,No,2592,0.00033361736111111077,0.07010658263946457,0.0003156722617898937,0.07277701237343896,2593,0.00030613059401971113
warp_shuffle,0,NVIDIA RTX A4000,128,No,351,0.00144344641880342,0.002065999693887214,0.0014252358780287605,0.0016832552732779743,368,0.0014241530376931895
warp_shuffle,0,NVIDIA RTX A4000,256,No,175,0.002878051657142856,0.0010481017659615,0.0028598459012167806,0.0010399966084612634,183,0.002858795332778347
warp_shuffle,0,NVIDIA RTX A4000,512,No,30,0.017045873666666666,0.0006111731166240544,0.017026103464762365,0.0005722711269052338,31,0.017096967943253057
warp_shuffle,0,NVIDIA RTX A4000,1024,No,11,0.12709053145454546,0.0024474677056721956,0.12706863750110975,0.0024492086068161564,12,0.12746057764689125
warp_shuffle,0,NVIDIA RTX A4000,2048,No,15,1.0539930262666668,0.008498811777287176,1.0539478597005207,0.008500578823953641,14,1.0799981253487723
warp_shuffle,0,NVIDIA RTX A4000,4096,No,2,8.879997006500002,inf,8.87994091796875,inf,2,8.94891455078125
warp_shuffle,0,NVIDIA RTX A4000,8192,No,1,77.41646418900001,inf,77.4167890625,inf,1,74.5699765625
warp_shuffle,1,NVIDIA RTX A4000,64,No,1504,0.000351206434840425,0.09920181519716736,0.0003331498097866158,0.10279024038228696,1679,0.0003066065630932661
warp_shuffle,1,NVIDIA RTX A4000,128,No,352,0.0014422012528409077,0.0020226342631920386,0.0014241067221896207,0.0018327574691499931,369,0.0014256882913067411
warp_shuffle,1,NVIDIA RTX A4000,256,No,1792,0.00288094943861607,0.007498475039576824,0.002863032474448681,0.007526502797612351,1793,0.002870009267788917
warp_shuffle,1,NVIDIA RTX A4000,512,No,30,0.017203202666666664,0.0031938323695972735,0.01718426767985026,0.0032038159998283226,31,0.01721162353023406
warp_shuffle,1,NVIDIA RTX A4000,1024,No,11,0.1287670161818182,0.002356325322227209,0.12874024963378908,0.0023567382388850117,12,0.1289116923014323
warp_shuffle,1,NVIDIA RTX A4000,2048,No,15,1.0703584507333335,0.008819061617856177,1.0703155029296876,0.008816143876432739,14,1.097143284388951
warp_shuffle,1,NVIDIA RTX A4000,4096,No,2,9.0183838615,inf,9.0183173828125,inf,2,9.084398925781251
warp_shuffle,1,NVIDIA RTX A4000,8192,No,1,75.456383383,inf,75.45653125,inf,1,78.2397421875
cougar,0,NVIDIA RTX A4000,64,No,10656,6.482293064939954e-05,0.07175831014870655,4.693493993908673e-05,0.08325963319810442,12480,4.006710414810536e-05
cougar,0,NVIDIA RTX A4000,128,No,5760,0.00010463012083333294,0.01548154015935291,8.690913307687002e-05,0.008252330445467224,6341,7.885474276207088e-05
cougar,0,NVIDIA RTX A4000,256,No,2976,0.00018610278259408584,0.008975111263110232,0.00016849908765946407,0.005271895777200912,3238,0.00015554417497659625
cougar,0,NVIDIA RTX A4000,512,No,1520,0.00034693372894736797,0.004899794924691789,0.00032902762211466503,0.0028326577049130517,1636,0.000308809238424511
cougar,0,NVIDIA RTX A4000,1024,No,402,0.001262266868159205,0.00110417751909092,0.0012441802410344007,0.0006324675632699695,421,0.0012433767431988569
cougar,0,NVIDIA RTX A4000,2048,No,69,0.007295852666666667,0.0028084436707482784,0.007277370445970177,0.0028202361095295355,72,0.007292972988552517
